#get MNC(mobile network code) from http://en.wikipedia.org/wiki/Mobile_country_code
#MNC,APN,dailnum,username,password,
60201,mobinilweb,*99#,,,
60202,internet.vodafone.net,*99#,internet,internet,
60203,,,,,
60501,,,,,
60301,internet,*99#,internet,internet,
60302,internet,*99#,nedjma,nedjma,
60303,,,,,
60400,wap.meditel.ma,*99#,,,
42402,,,,,
42403,,,,,
41805,net.asiacell.com,*99#,,,
41840,internet.korek.com,*99#,korek,korek,
41820,internet,*99#,,,
41830,internet,*99#,,,
43235,mtnirancell,*99#,,,
41601,,,,,
41603,umniah,*99#,,,
41677,net.orange.jo,*99***1#,net,net,
41902,,,,,
46000,cmnet,*99***1#,,,
46002,cmnet,*99***1#,,,
46007,cmnet,*99***1#,,,
72416,gprs.oi.com.br,*99#,,,
72405,claro.com.br,*99#,,,
72234,gprs.personal.com,*99#,,,
72201,internet.gprs.unifon.com.ar,*99#,,,
72207,internet.gprs.unifon.com.ar,*99#,,,
46001,3gnet,*99#,,,
46006,3gnet,*99#,,,
46003,ctnet,#777,ctnet@mycdma.cn,vnet.mobi,
46011,ctnet,#777,ctnet@mycdma.cn,vnet.mobi,
45005,web.sktelecom.com,*99#,,,
45002,alwaysson.ktfwing.com,*99#,,,
45004,alwaysson.ktfwing.com,*99#,,,
